Names
IKREM 9
MESERREF 1
INEYET 1
NIHAM 2
SELAMITDIN 1
CEBE 11
UFRAT 1
MENIE 1
SEVCIHAH 1
BERIFAN 11
SALIMET 86
TELMIHAN 1
KE 1
YUHAIDE 1
TURAT 2
GUNERSEL 1
LEZAR 2
NEVRET 10
SENGULAY 11
KATRIYE 112
FIGUN 7
CIHALE 4
NAZINDE 11
MENAR 11
PERIHANE 1
NURHAY 5
EZAY 2
KEBIRENUR 1
HORISEL 1
HATAYI 15
BEDIYAT 1
NEVSET 16
NURTAC 212
SARIDAYI 1
FERCAN 104
HIDRET 2
BEYCEN 1
SEHZAADDIN 1
ODIL 15
GANNEM 1
YASEMINSU 1
NIKSAN 2
NAHAZ 1
SEHAP 18
SUHULI 1
CUMAHAL 1
TUKUS 5
SANDRELLA 2
SERENDAM 1
MURETE 4
MESMEBEGIM 1
HELAT 3
HOSNANE 1
MEBRULEH 1
HEDIA 2
FETHINAZ 11
MUDASSIR 1
NERKAY 1
FATMAEL 2
NEBAYDIN 1
UGURZEKI 1
SAIMISOGLU 1
HAMDOS 15
SAYCEREZ 1
SERFIYE 10
ANULLAH 2
SUHAVI 10
BENLIALI 1
GUNNIGAR 5
FARIR 1
TIFLI 2
BARISCEM 1
MEZRURE 2
ACEPNAZ 5
NIAMI 1
SETURIYE 1
MAKTUT 1
CIRAKMAN 2
BEHICENUR 2
APTILMUTALIP 1
MEMICAN 92
ZERDAL 28
VAMIKIDDIN 1
YA 1
CANKIR 4
YESEM 6
ZEMMI 9
SEDENAZ 1
MAFERET 15
M.MASALLAH 2
RASIN 76
ZULAH 5
MEHZER 7
AZALETDIN 1
PILANTI 1
SAYNUL 3
NIFIDE 13
NURTEMEL 2
DIKA 2
GOYNUM 4
HIBEYSE 1
SURIYYE 1
ENETULLAH 2
GUFRAN 77
BENDENGUL 1
PEREN 86
CIHANKER 73
H.KIZ 2
DURULE 1
HANUZE 1
ERMENEGILDA 1
YUVES 1
ETEMGUL 1
BIRTAS 2
FAINA 1
SAFFET 9321
TURENC 1
NUHSEN 3
MENDERS 1
DUDUYA 10
NAZLY 1
SILVER 7
NIMNAME 7
DICLENUR 5
SERDIN 167
FAHHAN 1
ALIMERDEN 1
ERSINLER 1
ZULKARNE 27
HATEMIM 1
ALPOKAN 1
HUTAME 1
EFEK 1
NURSIM 1
ERCEM 24
MAYI 1
TEVVAR 2
SEVAM 1
GULASIRIN 1
AMAL 17
HALLUK 1
AYKAR 6
ZERIHA 13
ZIAITDIN 1
SAYYARA 1
TUZUM 1
BENZIGOL 1
ZAYRE 10
ZUBET 2
TANDEMIR 3
BINDEGUL 1
IDMON 1
MEMETHAKI 1
ZELFIDE 5
SIBIYEN 1
NAZGIR 1
VARTIK 5
DONDI 13
SALIHATA 1
HAYRULNESE 1
IREMLE 1
MUNAFFER 1
EZILET 1
ENNAN 1
SEREEFETTIN 1
NUTKUAY 1
COLBEYI 10
NAGAR 2
HIDARE 1
GULUNSE 1
ZEDA 1
SITHAN 2
HUDEYL 1
FERAZIYE 3
SELLER 1
SEVHAT 9
SUNMEYE 1
SEDAYI 111
SARBINE 1
NIHAR 18
SUZIN 23
SEYME 56
TUFLA 1
GUNASTI 1
MUKSIDIYE 1
H.KAMILE 1
NAZIKUL 1
REBISE 15
NEVRULLAH 2
SAMIRAM 4
SERINGUN 1
SEYAHAT 6
AYFERIKA 1
ETEME 5
DAHAN 13
SAKIHAN 1
BAYRUSA 2
AGLAYA 1
MUKMIYE 1
GULFANIYE 4
SELAMETTIN 986
TAKVIYE 5
YUBIL 1
NECIMET 2
NUHINAZ 1
HASUN 3
KAMEL 8
MEYTEBA 2
ZOHDU 19
MARIOLA 1
KEBIHAN 20
EMANYOLA 1
HOMAYDOHT 1
UMMU 8
ZEKIYA 1
LEHICAN 1
CAVIDAR 1
EGENAZ 1
HIDAET 4
REZIN 8
CEVRIYA 2
SUCCI 1
BIRZUN 1
NASTE 3
CANAN 66683
SEMSIL 1
AYRIFE 3
ERSINAY 1
HADUN 1
DIROHI 4
DIKRANU 1
MUATDER 5
KISAT 1
NUTKUN 1
SERACITTIN 2
SEZERAY 2
MAKHERUZ 1
FAHHRIYE 1
ABDILVAHHAB 1
IZZETE 71
SAHAVER 11
HEDIKE 39
KEMALAHMET 1
DOLA 1
VEYSET 1
GUNESER 24
SELAYITTIN 26
NERVINC 2
BURLIYAT 2
KELLY 5
MUSATTIN 6
HASIATE 1
KAYDA 1
ZEYNALIYE 1
FERINAZ 178
NECUDE 103
ABDULSAHAP 2
HAYLAS 2
DZEVAIRE 1
MULKNAZ 1
TULAYAT 1
SALIHAN 249
AKBALIK 1
NEHRIMAN 54
EFLATUN 419
NUKAN 1
SETAP 1
ALIM 134
HESMET 1
BIBISELAMET 1
SILAYET 1
YETIL 3
RAFIZA 1
KUBARI 5
KARIFET 1
ESRANAZ 2
ROMER 1
SOHEILA 2
HUSNUZAR 1
NEVZIKE 1
VEHITULLAH 1
MESTO 17
AYKURE 2
REISE 8
CEVATIYE 4
ASPIYE 5
BARAN 3323
M.BAKICAN 1
ZENIKAR 1
KIFEHI 1
NACITDIN 3
SERGENDER 23
SUMEYLE 1
NAYIZE 11
ZUBEDYE 3
NURAYIL 4
DINDAN 1
KAFIME 1
AKDES 6
VAZIYE 4
MENZIRET 2
SEMVIYE 1
PLAMENKO 1
NUREM 5
SETARE 1
EYNUL 1
NURSEVIN 56
NURAN. 1
ZEVAYDIN 1
SUDURIYE 5
MENDISE 2
BILGISAN 36
AKESET 2
CEMEN 25
ZILFIALI 1
MICAELA 2
ASPAHAN 1
LIYAADDIN 1
ERDIF 2
ILFER 3
SAHABEDIN 1
MUZEYET 4
RENVA 1
AHIDE 70
NEVDIN 1
ERSOZ 118
OTILIA 4
FIRAKI 3
MERZUHAN 2
NAVREZ 65
HOSNIK 1
